Z,PDF,CDF
-0.69,0.314,0.245
-0.68,0.317,0.248
-0.67,0.319,0.251
-0.66,0.321,0.255
-0.65,0.323,0.258
-0.64,0.325,0.261
-0.63,0.327,0.264
-0.62,0.329,0.268
-0.61,0.331,0.271
-0.60,0.333,0.274
-0.59,0.335,0.278
-0.58,0.337,0.281
-0.57,0.339,0.284
-0.56,0.341,0.288
-0.55,0.343,0.291
-0.54,0.345,0.295
-0.53,0.347,0.298
-0.52,0.349,0.302
-0.51,0.350,0.305
-0.50,0.352,0.309
-0.49,0.354,0.312
-0.48,0.356,0.316
-0.47,0.357,0.319
-0.46,0.359,0.323
-0.45,0.361,0.326
-0.44,0.362,0.330
-0.43,0.364,0.334
-0.42,0.365,0.337
-0.41,0.367,0.341
-0.40,0.368,0.345
-0.39,0.370,0.348
-0.38,0.371,0.352
-0.37,0.373,0.356
-0.36,0.374,0.359
-0.35,0.375,0.363
-0.34,0.377,0.367
-0.33,0.378,0.371
-0.32,0.379,0.375
-0.31,0.380,0.378
-0.30,0.381,0.382
-0.29,0.383,0.386
-0.28,0.384,0.390
-0.27,0.385,0.394
-0.26,0.386,0.397
-0.25,0.387,0.401
-0.24,0.388,0.405
-0.23,0.389,0.409
-0.22,0.389,0.413
-0.21,0.390,0.417
-0.20,0.391,0.421
-0.19,0.392,0.425
-0.18,0.393,0.429
-0.17,0.393,0.433
-0.16,0.394,0.436
-0.15,0.395,0.440
-0.14,0.395,0.444
-0.13,0.396,0.448
-0.12,0.396,0.452
-0.11,0.397,0.456
-0.10,0.397,0.460
-0.09,0.397,0.464
-0.08,0.398,0.468
-0.07,0.398,0.472
-0.06,0.398,0.476
-0.05,0.398,0.480
-0.04,0.399,0.484
-0.03,0.399,0.488
-0.02,0.399,0.492
-0.01,0.399,0.496
0.00,0.399,0.500
0.01,0.399,0.504
0.02,0.399,0.508
0.03,0.399,0.512
0.04,0.399,0.516
0.05,0.398,0.520
0.06,0.398,0.524
0.07,0.398,0.528
0.08,0.398,0.532
0.09,0.397,0.536
0.10,0.397,0.540
0.11,0.397,0.544
0.12,0.396,0.548
0.13,0.396,0.552
0.14,0.395,0.556
0.15,0.395,0.560
0.16,0.394,0.564
0.17,0.393,0.568
0.18,0.393,0.571
0.19,0.392,0.575
0.20,0.391,0.579
0.21,0.390,0.583
0.22,0.389,0.587
0.23,0.389,0.591
0.24,0.388,0.595
0.25,0.387,0.599
0.26,0.386,0.603
0.27,0.385,0.606
0.28,0.384,0.610
0.29,0.383,0.614
0.30,0.381,0.618
0.31,0.380,0.622
0.32,0.379,0.626
0.33,0.378,0.629
0.34,0.377,0.633
0.35,0.375,0.637
0.36,0.374,0.641
0.37,0.373,0.644
0.38,0.371,0.648
0.39,0.370,0.652
0.40,0.368,0.655
0.41,0.367,0.659
0.42,0.365,0.663
0.43,0.364,0.666
0.44,0.362,0.670
0.45,0.361,0.674
0.46,0.359,0.677
0.47,0.357,0.681
0.48,0.356,0.684
0.49,0.354,0.688
